datetime,symbol,open,high,low,close,volume
2018-05-09,BITKUB:ETHTHB,22500.0,23800.0,21500.0,23700.0,18.38781572
2018-05-10,BITKUB:ETHTHB,23800.0,24000.0,23800.0,24000.0,4.64457741
2018-05-11,BITKUB:ETHTHB,24200.0,24200.0,22150.0,22500.0,8.69320777
2018-05-12,BITKUB:ETHTHB,23000.0,23000.0,21000.0,22250.0,6.63547275
2018-05-13,BITKUB:ETHTHB,22250.0,23200.0,22000.0,23200.0,7.47229069
2018-05-14,BITKUB:ETHTHB,23200.0,23200.0,22700.0,23200.0,5.13251778
2018-05-15,BITKUB:ETHTHB,22900.0,23400.0,22900.0,23340.0,0.94964584
2018-05-16,BITKUB:ETHTHB,23040.01,23040.01,22599.0,22820.0,3.48900951
2018-05-17,BITKUB:ETHTHB,22820.0,22950.0,22820.0,22940.0,9.77364851
2018-05-18,BITKUB:ETHTHB,22850.0,22950.0,22000.0,22050.0,16.60284199
2018-05-19,BITKUB:ETHTHB,22100.0,22850.0,22005.0,22700.0,15.75041997
2018-05-20,BITKUB:ETHTHB,22869.0,22899.0,22222.0,22899.0,32.84604758
2018-05-21,BITKUB:ETHTHB,22900.0,22980.0,22400.0,22570.0,14.52441275
2018-05-22,BITKUB:ETHTHB,22570.0,22570.0,22100.0,22100.0,32.79186927
2018-05-23,BITKUB:ETHTHB,22398.0,22399.0,19000.0,19000.0,41.08572445
2018-05-24,BITKUB:ETHTHB,19000.0,19900.0,18400.0,19700.0,21.782311
2018-05-25,BITKUB:ETHTHB,19211.0,19800.0,19050.0,19300.0,23.59520562
2018-05-26,BITKUB:ETHTHB,19300.0,19748.0,18999.0,19599.0,33.62965098
2018-05-27,BITKUB:ETHTHB,19500.0,19699.0,18550.01,18700.0,35.08294969
2018-05-28,BITKUB:ETHTHB,18700.0,19000.0,17400.0,17400.0,119.87337997
2018-05-29,BITKUB:ETHTHB,17539.46,18390.0,15000.0,18385.0,110.9283826
2018-05-30,BITKUB:ETHTHB,18389.0,19900.0,17778.0,18358.0,86.25991782
2018-05-31,BITKUB:ETHTHB,17650.0,18368.0,17300.0,18100.0,90.86124111
2018-06-01,BITKUB:ETHTHB,18350.0,18444.0,18007.0,18366.0,71.37269101
2018-06-02,BITKUB:ETHTHB,18366.0,20000.0,18250.0,19998.01,92.05681634
2018-06-03,BITKUB:ETHTHB,18650.01,19589.0,18650.0,19300.0,42.57922868
2018-06-04,BITKUB:ETHTHB,19300.0,19600.0,18949.5,18949.5,113.25734505
2018-06-05,BITKUB:ETHTHB,18949.5,19600.0,18650.0,18750.0,81.06758045
2018-06-06,BITKUB:ETHTHB,18900.0,19799.99,18750.0,19350.0,104.91578305
2018-06-07,BITKUB:ETHTHB,19200.0,19677.0,19200.0,19400.0,70.61564455
2018-06-08,BITKUB:ETHTHB,19350.0,19455.0,19100.0,19160.0,70.89105524
2018-06-09,BITKUB:ETHTHB,19200.0,19677.0,19100.0,19300.0,58.03035924
2018-06-10,BITKUB:ETHTHB,19288.0,19288.0,18100.0,18150.0,95.33729838
2018-06-11,BITKUB:ETHTHB,18200.0,18298.0,17000.0,17590.0,269.95219132
2018-06-12,BITKUB:ETHTHB,17310.0,17585.0,17000.0,17000.0,461.24214727
2018-06-13,BITKUB:ETHTHB,17200.0,17549.99,15095.0,15109.0,490.07701704
2018-06-14,BITKUB:ETHTHB,15900.0,16200.0,15100.0,16198.99,298.66694027
2018-06-15,BITKUB:ETHTHB,16200.0,16800.0,15115.0,16599.0,28.88806088
2018-06-16,BITKUB:ETHTHB,16599.0,16600.0,16000.0,16100.0,258.89305112
2018-06-17,BITKUB:ETHTHB,16300.0,16590.0,16010.0,16370.0,158.25467464
2018-06-18,BITKUB:ETHTHB,16389.0,16600.0,15500.02,16200.0,197.65988061
2018-06-19,BITKUB:ETHTHB,16200.0,17500.0,16200.0,17300.0,30.06709487
2018-06-20,BITKUB:ETHTHB,17490.0,17499.0,16500.0,17445.0,188.36883836
2018-06-21,BITKUB:ETHTHB,17215.0,17500.0,17101.0,17400.0,160.15211928
2018-06-22,BITKUB:ETHTHB,17300.0,17350.0,15672.0,16390.0,32.36421512
2018-06-23,BITKUB:ETHTHB,15890.0,16205.0,15050.0,15715.0,156.60509416
2018-06-24,BITKUB:ETHTHB,15700.0,15777.0,14201.0,15000.0,468.71047252
2018-06-25,BITKUB:ETHTHB,14750.0,15777.0,14200.0,15300.0,689.7896393
2018-06-26,BITKUB:ETHTHB,15065.0,15500.0,14570.0,14850.0,699.08665344
2018-06-27,BITKUB:ETHTHB,14859.0,14879.0,14050.0,14550.0,141.14990328
2018-06-28,BITKUB:ETHTHB,14510.0,14797.0,14400.0,14500.0,74.73150676
2018-06-29,BITKUB:ETHTHB,14450.0,14450.0,13800.0,13900.0,112.75805511
2018-06-30,BITKUB:ETHTHB,13950.0,15000.0,13700.0,14900.0,105.103328
2018-07-01,BITKUB:ETHTHB,14899.0,14988.0,14501.0,14600.0,64.27964518
2018-07-02,BITKUB:ETHTHB,14550.0,15700.0,14520.0,15450.0,91.28716175
2018-07-03,BITKUB:ETHTHB,15500.0,16188.0,15300.0,15400.0,57.57574404
2018-07-04,BITKUB:ETHTHB,15500.0,15700.0,14899.0,15666.0,83.48148445
2018-07-05,BITKUB:ETHTHB,15600.0,15600.0,15300.0,15600.0,59.98007075
2018-07-06,BITKUB:ETHTHB,15500.0,15700.0,15000.0,15399.0,71.44135916
2018-07-07,BITKUB:ETHTHB,15399.0,15666.0,15100.0,15420.0,33.84340961
2018-07-08,BITKUB:ETHTHB,15411.0,15850.0,15222.0,15850.0,48.39199797
2018-07-09,BITKUB:ETHTHB,15799.0,15800.0,15600.0,15666.0,46.05120084
2018-07-10,BITKUB:ETHTHB,15666.0,15666.0,14600.0,14655.0,39.11033395
2018-07-11,BITKUB:ETHTHB,14655.0,15000.0,13700.0,14666.0,58.4902703
2018-07-12,BITKUB:ETHTHB,14666.0,15000.0,14100.0,14500.0,106.61775559
2018-07-13,BITKUB:ETHTHB,14400.0,14800.0,14100.0,14777.0,101.04528325
2018-07-14,BITKUB:ETHTHB,14777.0,14800.0,14100.0,14500.0,132.71128737
2018-07-15,BITKUB:ETHTHB,14466.0,14780.0,14400.0,14780.0,117.18459479
2018-07-16,BITKUB:ETHTHB,14800.0,15700.0,14688.0,15700.0,136.774079
2018-07-17,BITKUB:ETHTHB,15700.0,15800.0,15400.0,15400.0,58.39313149
2018-07-18,BITKUB:ETHTHB,15499.0,16288.0,15499.0,16000.0,38.67501671
2018-07-19,BITKUB:ETHTHB,15966.0,15977.0,14800.0,15500.0,100.81505549
2018-07-20,BITKUB:ETHTHB,15222.0,15555.0,15000.0,15200.0,94.62194578
2018-07-21,BITKUB:ETHTHB,15200.0,15300.0,15000.0,15300.0,63.42015048
2018-07-22,BITKUB:ETHTHB,15300.0,15400.0,15100.0,15355.0,62.52103779
2018-07-23,BITKUB:ETHTHB,15450.0,16000.0,15250.0,15466.0,52.90303495
2018-07-24,BITKUB:ETHTHB,15466.0,16288.0,15100.0,15555.0,81.94377893
2018-07-25,BITKUB:ETHTHB,15800.0,15800.0,15400.0,15500.0,49.44606829
2018-07-26,BITKUB:ETHTHB,15500.0,15788.0,15000.0,15500.0,49.48020474
2018-07-27,BITKUB:ETHTHB,15600.0,15700.0,15300.0,15566.0,56.05746251
2018-07-28,BITKUB:ETHTHB,15565.0,15600.0,15301.0,15301.0,13.70467518
2018-07-29,BITKUB:ETHTHB,15400.0,15577.0,15200.0,15355.0,51.86529309
2018-07-30,BITKUB:ETHTHB,15355.0,15400.0,15000.0,15311.0,67.19521547
2018-07-31,BITKUB:ETHTHB,14778.0,15200.0,14000.0,14500.0,62.69695795
2018-08-01,BITKUB:ETHTHB,13600.0,14755.0,13600.0,14433.0,61.62082811
2018-08-02,BITKUB:ETHTHB,14433.0,14888.0,13877.0,13877.0,50.40330062
2018-08-03,BITKUB:ETHTHB,13900.0,14300.0,13455.0,13700.0,75.3714828
2018-08-04,BITKUB:ETHTHB,13750.0,13900.0,13680.0,13680.0,66.72258228
2018-08-05,BITKUB:ETHTHB,13680.0,14500.0,13500.0,13544.0,61.52070284
2018-08-06,BITKUB:ETHTHB,13544.0,14900.0,13450.0,13450.0,105.50053654
2018-08-07,BITKUB:ETHTHB,13250.0,15900.0,13005.0,13588.0,207.26098724
2018-08-08,BITKUB:ETHTHB,13585.0,13585.0,11600.0,11679.0,100.03302897
2018-08-09,BITKUB:ETHTHB,11734.0,12314.0,11645.0,12209.0,134.29647313
2018-08-10,BITKUB:ETHTHB,12187.0,12396.0,11789.0,11985.0,274.78296658
2018-08-11,BITKUB:ETHTHB,11981.0,12039.0,10197.0,10235.0,249.00772663
2018-08-12,BITKUB:ETHTHB,10423.0,11185.0,10000.0,10956.0,346.30530063
2018-08-13,BITKUB:ETHTHB,10937.0,10951.0,9834.0,9914.0,400.43627853
2018-08-14,BITKUB:ETHTHB,9892.0,9892.0,8400.0,8698.0,334.29551256
2018-08-15,BITKUB:ETHTHB,8714.0,10003.0,8575.0,10003.0,375.38927768
2018-08-16,BITKUB:ETHTHB,10188.0,10188.0,7800.0,9574.0,346.89261167
2018-08-17,BITKUB:ETHTHB,9648.0,10109.0,9350.0,10023.0,277.25287235
2018-08-18,BITKUB:ETHTHB,9998.0,10643.0,7800.01,9563.0,312.68516036
2018-08-19,BITKUB:ETHTHB,9371.0,10859.0,9342.0,9840.0,363.38668983
2018-08-20,BITKUB:ETHTHB,9740.0,10078.0,9287.0,9587.0,405.9892444
2018-08-21,BITKUB:ETHTHB,9533.0,9597.0,8908.0,8922.0,333.52975012
2018-08-22,BITKUB:ETHTHB,9123.0,9769.0,8850.0,9165.0,252.82560605
2018-08-23,BITKUB:ETHTHB,9146.0,9216.0,8501.0,9090.0,302.83503919
2018-08-24,BITKUB:ETHTHB,9175.0,9175.0,8785.0,8950.0,142.44122965
2018-08-25,BITKUB:ETHTHB,8859.0,9193.0,8859.0,9043.0,184.57611345
2018-08-26,BITKUB:ETHTHB,9152.0,9160.0,7800.0,8853.0,192.90997784
2018-08-27,BITKUB:ETHTHB,8956.0,9107.0,8786.0,8952.0,201.16580411
2018-08-28,BITKUB:ETHTHB,8985.0,9389.0,8858.0,9291.0,223.98756061
2018-08-29,BITKUB:ETHTHB,9198.0,9577.0,9112.0,9206.0,331.38059695
2018-08-30,BITKUB:ETHTHB,9258.0,9420.0,8832.0,9002.0,356.7839506
2018-08-31,BITKUB:ETHTHB,8993.0,9340.0,8893.0,9099.0,355.17334133
2018-09-01,BITKUB:ETHTHB,8982.0,9681.0,8982.0,9631.0,278.59291725
2018-09-02,BITKUB:ETHTHB,9617.0,9769.0,9333.0,9576.0,380.6768558
2018-09-03,BITKUB:ETHTHB,9596.0,9630.0,9300.0,9358.0,180.1427817
2018-09-04,BITKUB:ETHTHB,9355.0,9526.0,9205.0,9297.0,298.19263796
2018-09-05,BITKUB:ETHTHB,9370.0,9370.0,7991.0,7991.0,391.96086658
2018-09-06,BITKUB:ETHTHB,7972.0,8061.0,6959.0,7578.0,419.86911
2018-09-07,BITKUB:ETHTHB,7353.0,7701.0,7229.0,7229.0,60.00487047
2018-09-08,BITKUB:ETHTHB,7234.0,7257.0,7002.0,7184.0,164.53504207
2018-09-09,BITKUB:ETHTHB,7195.0,7195.0,6284.0,6516.0,135.18124243
2018-09-10,BITKUB:ETHTHB,6661.0,6661.0,6197.0,6197.0,115.01268154
2018-09-11,BITKUB:ETHTHB,6289.0,6590.0,6114.0,6170.0,284.09600556
2018-09-12,BITKUB:ETHTHB,6100.0,6187.0,5513.0,5668.0,534.69767183
2018-09-13,BITKUB:ETHTHB,5691.0,6884.0,5612.0,6795.0,1032.76721514
2018-09-14,BITKUB:ETHTHB,6796.0,7359.0,6538.0,7080.0,798.65541454
2018-09-15,BITKUB:ETHTHB,7109.0,7461.0,6787.0,7330.0,857.64160062
2018-09-16,BITKUB:ETHTHB,7309.0,7460.0,6790.0,7091.0,891.38411676
2018-09-17,BITKUB:ETHTHB,7191.0,7372.0,6624.0,6790.0,835.4429975
2018-09-18,BITKUB:ETHTHB,6805.0,7084.0,6297.0,6930.0,958.69676125
2018-09-19,BITKUB:ETHTHB,7023.0,7057.0,6676.0,6861.0,624.20237547
2018-09-20,BITKUB:ETHTHB,6921.0,7087.0,6527.0,6965.0,951.33226702
2018-09-21,BITKUB:ETHTHB,6975.0,7800.0,6655.0,7525.0,824.26477145
2018-09-22,BITKUB:ETHTHB,7400.0,8329.0,7384.0,7723.0,727.15740564
2018-09-23,BITKUB:ETHTHB,7850.0,8046.0,7676.0,7824.0,660.66207318
2018-09-24,BITKUB:ETHTHB,7828.0,8014.0,7488.0,7567.0,560.61629585
2018-09-25,BITKUB:ETHTHB,7655.0,7671.0,6595.0,6894.0,807.43232176
2018-09-26,BITKUB:ETHTHB,6876.0,7226.0,6690.0,7091.0,1782.97104286
